"Title","streaming"
"The Intouchables","netflix     "
"3 Idiots","netflix   prime  "
"The Irishman","netflix     "
"Marriage Story","netflix     "
"Dangal","netflix     "
"David Attenborough: A Life on Our Planet","netflix     "
"13th","netflix     "
"Roma","netflix     "
"The Trial of the Chicago 7","netflix     "
"To All the Boys I've Loved Before","netflix     "
"Lagaan: Once Upon a Time in India","netflix     "
"Fruitvale Station","netflix     "
"The Social Dilemma","netflix     "
"Okja","netflix     "
"Dolemite Is My Name","netflix     "
"The Ballad of Buster Scruggs","netflix     "
"Article 15","netflix     "
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","netflix     "
"Mudbound","netflix     "
"Swades","netflix     "
"Kahaani","netflix     "
"Fyre","netflix     "
"Neon Genesis Evangelion: The End of Evangelion","netflix     "
"Miss Americana","netflix     "
"The Platform","netflix     "
"Virunga","netflix     "
"Back to the Future","netflix     "
"Bo Burnham: Make Happy","netflix     "
"Pieces of a Woman","netflix     "
"The King","netflix     "
"Crip Camp: A Disability Revolution","netflix     "
"The Departed","netflix  hbo   "
"Talvar","netflix     "
"A Shaun the Sheep Movie: Farmageddon","netflix     "
"Tell Me Who I Am","netflix     "
"I Am Mother","netflix     "
"John Mulaney: Kid Gorgeous at Radio City","netflix     "
"Winter on Fire: Ukraine's Fight for Freedom","netflix     "
"The Boy Who Harnessed the Wind","netflix     "
"The Half of It","netflix     "
"I Lost My Body","netflix     "
"The Fundamentals of Caring","netflix     "
"Gerald's Game","netflix     "
"Shutter Island","netflix     "
"Black Friday","netflix     "
"The Devil All the Time","netflix     "
"On Body and Soul","netflix     "
"Extraction","netflix     "
"Kiss the Ground","netflix     "
"Always Be My Maybe","netflix     "
"A Secret Love","netflix     "
"Scarface","netflix     "
"The Guernsey Literary & Potato Peel Pie Society","netflix     "
"American Factory","netflix     "
"The Night Comes for Us","netflix     "
"The Pianist","netflix     "
"Bill Burr: Paper Tiger","netflix     "
"His House","netflix     "
"Ma Rainey's Black Bottom","netflix     "
"Bird Box","netflix     "
"Stree","netflix     "
"No Direction Home: Bob Dylan","netflix     "
"Special 26","netflix     "
"What Happened to Monday","netflix     "
"Kabhi Khushi Kabhie Gham","netflix     "
"Super Deluxe","netflix     "
"The Distinguished Citizen","netflix     "
"Pad Man","netflix     "
"The Fear of 13","netflix     "
"Eurovision Song Contest: The Story of Fire Saga","netflix     "
"A Clockwork Orange","netflix  hbo   "
"Rush","netflix     "
"Pan's Labyrinth","netflix     "
"Private Life","netflix     "
"Chasing Coral","netflix     "
"Happy as Lazzaro","netflix     "
"Into the Wild","netflix     "
"Invader ZIM: Enter the Florpus","netflix     "
"Spotlight","netflix     "
"The Death of Mr. Lazarescu","netflix     "
"Anthony Jeselnik: Thoughts and Prayers","netflix     "
"Over the Moon","netflix     criterion"
"Kal Ho Naa Ho","netflix     "
"The White Helmets","netflix     "
"The Life Ahead","netflix     "
"The Meyerowitz Stories (New and Selected)","netflix     "
"Casino Royale","netflix     "
"The Hateful Eight","netflix     "
"Team Foxcatcher","netflix     "
"Da 5 Bloods","netflix     "
"Kapoor & Sons","netflix     "
"There Will Be Blood","netflix     "
"Monty Python and the Holy Grail","netflix     "
